query,query_clicks,query_impressions,query_ctr_percent,query_average_position,inferred_language,candidate_canonical_url,candidate_intent,mapping_confidence,evidence_type,validation_status,recommended_status,notes
"evidence zakázek",0,74,0.00,10.00,cs,"https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-a-zakazek/","transactional job and request management",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",IMPLEMENT NOW,"Broad query may also belong to a guide or pain page; do not treat the candidate as observed landing-page ownership."
"tools for managing internal processes without spreadsheets",0,54,0.00,8.83,en,"https://www.halatao.cz/en/comparisons/internal-tool-vs-spreadsheets-and-email/","comparison and decision support",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","Confirm actual landing page, country and device before any EN edit."
"automatizace zpracování poptávek",0,52,0.00,3.96,cs,"https://www.halatao.cz/cs/pruvodce/jak-automatizovat-zpracovani-poptavek/","informational how-to",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",IMPLEMENT NOW,"Use the guide as the intended informational owner; verify observed ownership after deployment."
"b2b partner portal platform",0,52,0.00,20.35,en,"https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/","B2B partner portal use case",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","EN remains unchanged until query-page and geography evidence is available."
"automation of request handling",0,36,0.00,30.36,en,"https://www.halatao.cz/en/guides/how-to-automate-request-processing/","informational how-to",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","Ranking suggests a relevance or market-fit issue; aggregate data cannot identify the landing page."
"evidence zakázek v excelu",0,27,0.00,7.33,cs,"https://www.halatao.cz/cs/problemy/poptavky-nabidky-a-realizace-v-excelu-a-emailu/","problem recognition and operational pain",MEDIUM,"semantic hypothesis from independent query aggregate; the broader Excel-process page is also plausible","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Validate whether the query belongs to the narrow request-delivery pain page or the broader Excel-process diagnostic before another copy change."
"internal approval system india",0,27,0.00,7.48,en,"https://www.halatao.cz/en/use-cases/internal-approval-system/","internal approval use case",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS COUNTRY AND QUERY-PAGE FILTER","NEEDS MORE DATA","Semantic match is strong but India may be outside the target market; do not optimize for it without a business decision."
"automatizace workflow",0,27,0.00,26.30,cs,"https://www.halatao.cz/cs/priklady/workflow-automatizace/","workflow automation use case",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Hold outside wave 1; verify whether a service, guide or use case currently ranks."
"halata",0,16,0.00,8.06,ambiguous,"https://www.halatao.cz/cs/","brand or ambiguous entity navigation",LOW,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","AMBIGUOUS QUERY",MONITOR,"Could refer to another entity; no content action."
"reporting dashboard development solutions",0,16,0.00,8.75,en,"https://www.halatao.cz/en/use-cases/reporting-dashboard-development/","reporting dashboard use case",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Verify observed landing page before a bounded content or snippet test."
"how to organize request handling",0,16,0.00,55.69,en,"https://www.halatao.cz/en/guides/how-to-automate-request-processing/","informational request handling",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","Low visibility and unknown geography make an EN rewrite premature."
"b2b partner portal",0,15,0.00,14.00,en,"https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/","B2B partner portal use case",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","Confirm whether the partner-portal use case, client-portal use case or service owns the impressions."
"spa vs nextjs",0,14,0.00,7.57,en,"https://www.halatao.cz/en/comparisons/nextjs-vs-spa-for-business-apps/","technology comparison",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Good semantic fit, but first wait for stable canonical data and validate the actual landing page."
"request handling automation",0,14,0.00,26.43,en,"https://www.halatao.cz/en/guides/how-to-automate-request-processing/","informational how-to",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","No EN implementation in wave 1."
"job management software instead of spreadsheets",0,14,0.00,39.86,en,"https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel/","informational jobs-without-spreadsheets guide",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","The word software may indicate transactional intent; validate whether a service or guide ranks."
"mvp projekt",0,11,0.00,11.64,cs,"https://www.halatao.cz/cs/pruvodce/jak-naplanovat-mvp-webove-aplikace/","informational MVP planning",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Broad query; no wave-1 change."
"interní systém na míru",0,11,0.00,18.64,cs,"https://www.halatao.cz/cs/sluzby/interni-systemy-na-miru/","transactional custom internal system",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Validate observed ownership and preserve separation from the request-management service."
"hledáme partnera pro převzetí a další vývoj naší stávající android aplikace. předchozí dodavatel skončil. potřebujeme stabilizaci a kontinuální vývoj.",0,7,0.00,1.86,cs,"https://www.halatao.cz/cs/sluzby/prevzeti-a-rozvoj-existujici-aplikace/","transactional application takeover",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",IMPLEMENT NOW,"Strong business fit despite low volume; use it to inform takeover evidence, not as text to stuff verbatim."
"evidence zakázek excel",0,7,0.00,3.86,cs,"https://www.halatao.cz/cs/problemy/poptavky-nabidky-a-realizace-v-excelu-a-emailu/","problem recognition and operational pain",MEDIUM,"semantic hypothesis from independent query aggregate; the broader Excel-process page is also plausible","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Validate observed page ownership and overlap after rollout; do not force the query into either page from aggregate data."
"tvorba webových aplikací brno",0,7,0.00,12.71,cs,"https://www.halatao.cz/cs/lokality/brno/","local commercial relevance",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Monitor the new location architecture; do not expand into doorway copy."
"evidence zakázek realitní kancelář",0,7,0.00,17.00,cs,"https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-a-zakazek/","vertical variant of job and request management",LOW,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","No real-estate-specific page or validated business case; avoid speculative vertical content."
"b2b portál pro dodavatele",0,7,0.00,26.00,cs,"https://www.halatao.cz/cs/priklady/partnersky-portal-pro-b2b-firmu/","B2B partner portal use case",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Outside wave 1; validate observed landing page and demand."
"client portal for business partner",0,6,0.00,8.00,en,"https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/","B2B partner portal use case",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","Could map to the B2B client-portal use case; actual landing page must be checked."
"vývoj webových aplikací brno",0,6,0.00,10.50,cs,"https://www.halatao.cz/cs/lokality/brno/","local commercial relevance",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Monitor after location-hub discovery stabilizes; avoid a broad local rewrite."
"workflow automatizace",0,6,0.00,20.50,cs,"https://www.halatao.cz/cs/priklady/workflow-automatizace/","workflow automation use case",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"No wave-1 action."
"modernizace aplikací",0,6,0.00,21.00,cs,"https://www.halatao.cz/cs/problemy/potrebujeme-modernizovat-legacy-aplikaci/","legacy modernization problem recognition",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Monitor separately from the transactional takeover service."
"portal for business partners",0,6,0.00,23.50,en,"https://www.halatao.cz/en/use-cases/partner-portal-for-b2b-company/","B2B partner portal use case",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","EN remains data-gated."
"is nextjs spa",0,5,0.00,10.80,en,"https://www.halatao.cz/en/comparisons/nextjs-vs-spa-for-business-apps/","technology comparison",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Validate the actual landing page before testing copy."
"reporting pro management",0,5,0.00,16.20,cs,"https://www.halatao.cz/cs/priklady/dashboard-pro-management/","management reporting use case",MEDIUM,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","Low volume; distinguish use-case intent from the multi-system guide."
"job tracking without spreadsheets",0,5,0.00,32.40,en,"https://www.halatao.cz/en/guides/how-to-manage-jobs-without-excel/","informational jobs-without-spreadsheets guide",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER","NEEDS MORE DATA","No EN implementation in wave 1."
"náhrada excelu ve firmě",0,4,0.00,23.50,cs,"https://www.halatao.cz/cs/problemy/potrebujeme-nahradit-excel-ve-firemnim-procesu/","problem recognition for replacing spreadsheets",HIGH,"close semantic match from independent query aggregate and registry; not a GSC query-page join","NEEDS GSC QUERY-PAGE FILTER",MONITOR,"Monitor the existing problem owner; avoid overlap with the request-offer-delivery pain page."
"vývoj mobilních aplikací brno",0,4,0.00,43.25,cs,"https://www.halatao.cz/cs/lokality/brno/","local commercial relevance",LOW,"semantic hypothesis from independent query aggregate and registry; not a GSC query-page join","POSSIBLE OFFERING MISMATCH","NEEDS MORE DATA","Do not imply a mobile-app offering without validating service scope."
"co je dashboard",0,4,0.00,54.75,cs,"","dictionary-level informational intent",LOW,"query aggregate only; no safe single current owner identified","NO SAFE SINGLE OWNER","NEEDS MORE DATA","Do not force this query onto a commercial use case or create new content from four impressions."
